[他人描述]	妮妮的媽媽很愛揍兔子布偶
[他人描述, 事物說明]	HellKitty 麥當勞歡樂送 開門！
[他人描述]	直接把雞塊塞進女店員的XX理阿
[他人描述, 事物說明]	以前看很嘴的後來老婆都很安全型 現實就是那樣
[他人描述, 事物說明]	了，野外採的母蟲大多都被幹翻好幾輪了
[他人描述]	其實魯智深看上的是林沖娘子，原著有點到。
[他人描述]	睡妳媽逼起來嗨
[他人描述]	初音犯重婚罪不用負責咪
[他人描述, 事物說明]	因為猴頭菇是雞肉做的啊！！！你竟然不知道！！！
[他人描述]	快跟軍師說啊！
[他人描述]	去問關注性平的家長團體啊
[他人描述]	沒好處 每次鳥事第一個就想到你
[事物說明]	3D小當家有人會畫嗎
[事物說明]	他國事務..
[事物說明]	又缺水又缺電 所以水電又超貴的新加坡設廠
[事物說明]	先吃冷的海鮮生魚片 然後吃熱炸的海鮮 飲料不要喝太多
[事物說明]	日文肉捧的音譯啊
[事物說明]	本票字樣  金額  發票日  簽名
[事物說明]	以前在台灣超紅
[事物說明]	哪一本兒?
[事物說明]	一直愛愛愛不完
[事物說明]	什麼時候輪到近親婚姻..
[事物說明]	比大型包裹貴
[事物說明]	有的廉航的時間比一般航空還好  那當然買廉航
[事物說明]	兔兒神這是第一次聽到耶
[事物說明]	中華民國國歌..根本出山的節奏 國旗歌來當國歌還比較合適
[事物說明]	打不贏，會因為重力繞著肥宅做圓周運動
[事物說明]	不就抄國外的 AKB前戲就10分鐘的歌一堆
[事物說明]	高醫比台中哪兩所高啊?高醫不是只有醫類分數高嗎
[事物說明]	A槽3.5磁片 B槽5.5磁片 菜逼八沒看過吼
[事物說明]	就跟北韓要滅了美國一樣，有需要認真嗎？
[事物說明]	看了一本小說就說人家狼師，呵呵鬼島民智未開
[事物說明]	去中國就不用當人了
[事物說明]	下一個是華哥啦
[事物說明]	該去中國撈的不去
[事物說明]	有！真的有多
[事物說明]	執迷不悟拖時間 人不可能為誰改變 只會為自己改變
[自我探討]	聽起來像印度阿三的時間
[自我探討]	我最後一次被人說斯文是國小了
[自我探討]	好啦對不起 我還是愛你ㄉ
[自我探討]	我最喜歡綁憲兵了
[他人描述]	不要浪費人家空間好嗎
[他人描述]	帶那台十幾萬用一卡皮箱裝的水冷筆電 宅到出水
[他人描述]	你被國際盜懶覺集團盯上了
[他人描述]	這貓貓好可愛
[事物說明]	其實都是內行人帶風向不想別人跟來
[事物說明]	完美聖人不可犯錯是吧?
[事物說明]	加入傑尼龜家族比較有希望
[事物說明]	歐漢升和歐巴馬有什麼關係？
